	质量 B		
t	x	y	
4.199	755.2	-303.7
4.233	784.4	-303.7
4.266	790.2	-309.5
4.299	784.7	-309.3
4.333	760.3	-314.6
4.366	726.0	-320.6
4.399	673.6	-331.5
4.433	609.4	-342.2
4.466	534.3	-354.6
4.499	456.7	-367.9
4.533	360.3	-377.5
4.566	256.7	-384.8
4.599	144.0	-390.4
4.632	32.70	-393.8
4.666	-78.50	-394.1
4.699	-190.3	-391.4
4.732	-292.6	-386.4
4.766	-412.6	-379.9
4.799	-506.8	-371.5
4.832	-595.8	-362.2
4.866	-672.9	-353.3
4.899	-735.5	-344.9
4.932	-766.0	-333.3
4.966	-798.6	-328.4
4.999	-811.4	-325.5
5.032	-811.2	-327.2
5.066	-796.3	-331.9
5.099	-764.3	-339.3
5.132	-713.3	-348.5
5.166	-646.9	-361.1
5.199	-566.4	-373.5
5.232	-472.9	-385.2
5.266	-372.5	-395.6
5.299	-265.1	-402.8
5.332	-152.9	-407.8
5.366	-41.90	-409.6
5.399	65.70	-407.7
5.432	180.5	-403.1
5.466	288.2	-396.0
5.499	392.9	-385.5
5.532	486.1	-373.6
5.566	567.6	-361.5
5.599	636.3	-349.2
5.632	692.4	-339.0
5.666	734.2	-329.5
5.699	765.7	-313.8
5.732	779.1	-309.7
5.766	777.9	-308.5
5.799	763.2	-310.8
5.832	735.5	-314.9
5.866	693.5	-324.4
5.899	639.7	-334.1
5.932	569.3	-346.5
5.966	502.2	-361.2
5.999	410.2	-371.6
6.032	309.9	-379.9
6.066	200.3	-386.9
6.099	90.28	-391.1
6.132	-19.22	-393.6
6.166	-133.6	-392.4
6.199	-245.5	-388.8
6.232	-355.8	-383.8
6.266	-439.8	-376.4
6.299	-530.6	-367.2
6.332	-649.9	-364.3
6.366	-689.9	-341.6
6.399	-726.8	-342.4
6.432	-775.9	-332.2
6.465	-800.1	-328.8
6.499	-809.1	-326.8
6.532	-802.6	-330.8
6.565	-776.9	-335.4
6.599	-737.9	-344.8
6.632	-677.9	-356.5
6.665	-602.8	-369.5
6.699	-517.8	-380.8
6.732	-422.1	-391.6
6.765	-350.9	-402.6
6.799	-236.1	-407.8
6.832	-103.8	-409.4
6.865	15.22	-408.9
6.899	125.5	-405.8
6.932	232.8	-398.9
6.965	339.0	-390.3
6.999	434.4	-379.5
7.032	519.1	-367.6
7.065	598.7	-354.5
7.099	661.4	-343.8
7.132	710.5	-333.4
7.165	751.6	-316.8
7.199	781.4	-307.3
7.232	788.3	-305.9
7.265	779.4	-306.8
7.299	753.1	-311.7
7.332	716.6	-318.7
7.365	667.9	-326.5
7.399	604.9	-337.9
7.432	529.2	-349.9
7.465	442.1	-361.5
7.499	362.3	-373.5
7.532	257.5	-381.0
7.565	149.1	-386.8
7.599	39.07	-391.3
7.632	-75.03	-392.0
7.665	-185.2	-389.7
7.699	-301.8	-386.6
7.732	-395.7	-378.8
7.765	-515.2	-374.5
7.799	-601.3	-366.7
7.832	-644.9	-349.6
7.865	-713.2	-329.9
7.899	-755.2	-334.1
7.932	-787.0	-327.7
7.965	-804.7	-326.9
7.999	-800.8	-329.2
8.032	-780.3	-333.7
8.065	-751.8	-341.2
8.099	-703.9	-351.1
8.132	-638.7	-363.3
8.165	-558.4	-376.5
8.199	-469.2	-386.6
8.232	-381.9	-395.7
8.265	-259.7	-403.3
8.298	-147.2	-408.8
8.332	-44.99	-410.1
8.365	67.48	-407.2
8.398	177.6	-403.2
8.432	290.3	-396.2
8.465	412.1	-387.3
8.498	502.0	-376.8
8.532	587.5	-364.5
8.565	643.0	-342.7
8.598	701.6	-331.0
8.632	747.8	-320.7
8.665	774.5	-309.1
8.698	792.4	-308.8
8.732	792.0	-305.8
8.765	774.9	-307.8
8.798	742.7	-314.6
8.832	699.1	-323.4
8.865	642.7	-333.4
8.898	574.1	-346.5
8.932	504.8	-361.7
8.965	415.3	-372.0
8.998	317.9	-381.2
9.032	214.2	-389.5
9.065	104.8	-395.2
9.098	-6.320	-397.4
9.132	-119.0	-396.4
9.165	-228.1	-393.1
9.198	-331.5	-387.5
9.232	-430.3	-379.5
9.265	-518.4	-370.4
9.298	-596.8	-361.3
9.332	-662.6	-352.7
9.365	-714.3	-345.5
9.398	-751.7	-340.8
9.432	-789.5	-327.2
9.465	-796.0	-326.1
9.498	-789.5	-329.1
9.532	-763.9	-336.1
9.565	-723.5	-345.3
9.598	-670.1	-356.2
9.632	-591.5	-368.4
9.665	-506.5	-380.5
9.698	-414.2	-389.8
9.732	-311.7	-397.6
9.765	-215.1	-403.6
9.798	-102.4	-406.3
9.832	15.11	-406.9
9.865	125.7	-403.6
9.898	236.3	-396.7
9.932	342.3	-388.7
9.965	439.1	-376.8
9.998	523.4	-365.6
10.032	597.5	-353.7
10.065	666.1	-335.7
10.098	713.4	-325.0
10.131	748.0	-318.0
10.165	777.3	-308.8
10.198	783.4	-307.8
10.231	775.7	-307.8
10.265	751.2	-312.8
10.298	717.0	-320.6
10.331	667.5	-330.2
10.365	603.5	-341.4
10.398	529.3	-353.2
10.431	451.3	-365.6
10.465	362.0	-376.5
10.498	252.9	-383.4
10.531	145.1	-389.3
10.565	41.34	-392.7
10.598	-70.65	-392.7
10.631	-178.1	-389.4
10.665	-288.6	-384.9
10.698	-379.4	-378.3
10.731	-473.9	-370.1
10.765	-557.7	-361.4
10.798	-627.0	-354.2
10.831	-684.9	-345.9
10.865	-728.7	-340.4
10.898	-758.2	-336.7
10.931	-802.9	-325.1
10.965	-880.5	-329.1
10.998	-788.9	-324.1
11.031	-748.1	-327.0
11.065	-695.7	-338.6
11.098	-620.7	-363.3
11.131	-545.0	-374.5
11.165	-456.7	-384.2
11.198	-359.1	-393.3
11.231	-253.6	-400.6
11.265	-151.1	-403.5
11.298	-38.78	-405.6
11.331	69.77	-404.6
11.365	181.3	-398.9
11.398	289.4	-392.2
11.431	404.7	-384.4
11.465	501.5	-373.8
11.498	586.1	-362.3
11.531	656.8	-351.5
11.565	695.7	-330.3
11.598	731.2	-320.5
11.631	760.9	-312.5
11.665	775.6	-308.4
11.698	777.8	-308.0
11.731	760.9	-310.0
11.765	734.4	-315.9
11.798	689.7	-324.3
11.831	633.2	-335.0
11.865	565.4	-347.4
11.898	487.3	-358.1
11.931	398.4	-369.3
11.964	300.1	-378.7
11.998	195.7	-385.4
12.031	88.37	-390.1
12.064	-17.91	-391.9
12.098	-129.0	-390.5
12.131	-235.4	-387.1
12.164	-347.5	-380.9
12.198	-425.7	-374.3
12.231	-514.8	-365.6
12.264	-589.6	-357.2
12.298	-656.0	-349.5
12.331	-721.3	-334.5
12.364	-746.5	-337.5
12.398	-792.9	-325.5
12.431	-802.0	-326.0
12.464	-871.8	-333.2
12.498	-774.3	-321.2
12.531	-721.9	-335.7
12.564	-666.5	-338.6
12.598	-589.4	-359.7
12.631	-506.6	-369.7
12.664	-412.1	-380.5
12.698	-309.8	-388.2
12.731	-202.0	-393.8
12.764	-89.06	-396.4
12.798	22.98	-395.7
12.831	136.8	-393.6
12.864	247.0	-387.4
12.898	351.0	-379.7
12.931	452.9	-371.7
12.964	537.2	-359.5
12.998	604.7	-343.5
13.031	668.1	-331.4
13.064	720.9	-321.5
13.098	757.9	-313.7
13.131	780.3	-308.0
13.164	783.4	-306.3
13.198	777.7	-306.2
13.231	753.4	-310.0
13.264	713.0	-315.7
13.298	661.3	-323.2
13.331	596.4	-332.4
13.364	522.2	-343.5
13.398	438.7	-355.2
13.431	347.2	-365.2
13.464	249.1	-373.7
13.498	148.4	-379.3
13.531	41.81	-383.6
13.564	-65.96	-383.7
13.598	-170.9	-382.6
13.631	-274.9	-378.5
13.664	-371.4	-374.1
13.698	-464.3	-366.8
13.731	-546.3	-359.0
13.764	-618.4	-350.3
13.797	-677.6	-342.6
13.831	-721.4	-339.5
13.864	-757.8	-327.5
13.897	-774.9	-327.8
13.931	-776.2	-325.7
13.964	-760.0	-332.6
13.997	-728.0	-337.5
14.031	-682.4	-345.6
14.064	-620.5	-356.4
14.097	-545.4	-366.3
14.131	-457.1	-376.8
14.164	-357.7	-385.6
14.197	-253.0	-390.7
14.231	-141.5	-396.1
14.264	-28.46	-398.8
14.297	85.51	-396.4
14.331	198.3	-393.4
14.364	306.9	-387.0
14.397	410.1	-379.0
14.431	502.3	-369.6
14.464	579.1	-358.4
14.497	650.5	-348.0
14.531	688.8	-324.5
14.564	735.1	-312.6
14.597	766.5	-305.6
14.631	778.4	-306.4
14.664	778.3	-306.1
14.697	757.9	-308.4
14.731	723.2	-313.9
14.764	682.6	-320.0
14.797	630.4	-328.9
14.831	561.5	-341.7
14.864	483.9	-354.3
14.897	395.0	-364.6
14.931	297.3	-374.8
14.964	199.2	-378.6
14.997	87.97	-385.5
15.031	-24.40	-389.9
15.064	-135.3	-389.7
15.097	-245.8	-388.2
15.131	-351.4	-383.4
15.164	-450.2	-377.2
15.197	-540.3	-368.8
15.231	-620.4	-359.8
15.264	-689.0	-351.6
15.297	-742.1	-344.5
15.331	-783.5	-341.4
15.364	-814.7	-347.9
15.397	-876.6	-333.6
15.431	-788.9	-332.8
15.464	-759.8	-341.6
15.497	-740.2	-350.5
15.531	-683.7	-359.2
15.564	-602.5	-356.1
15.597	-528.3	-379.3
15.630	-430.8	-388.8
15.664	-325.4	-395.8
15.697	-208.2	-402.2
15.730	-109.6	-408.9
15.764	10.22	-409.5
15.797	128.1	-406.0
15.830	240.1	-402.0
15.864	347.2	-393.4
15.897	440.9	-382.7
15.930	523.9	-365.3
15.964	594.6	-351.0
15.997	658.1	-338.3
16.030	704.7	-328.6
16.064	735.2	-319.2
16.097	765.1	-314.5
16.130	765.8	-310.5
16.164	765.6	-311.9
16.197	733.8	-314.0
16.230	708.6	-315.3
16.264	651.2	-329.4
16.297	588.8	-337.7
16.330	514.4	-347.7
16.364	430.5	-357.8
16.397	339.9	-366.8
16.430	242.8	-373.9
16.464	138.0	-378.3
16.497	32.12	-383.3
16.530	-76.98	-384.5
16.564	-185.0	-383.4
16.597	-292.8	-378.6
16.630	-394.1	-373.4
16.664	-482.0	-368.3
16.697	-556.5	-356.9
16.730	-629.2	-346.7
16.764	-691.1	-337.6
16.797	-734.9	-331.8
16.830	-763.8	-329.6
16.864	-777.6	-326.6
16.897	-776.9	-329.3
16.930	-761.8	-331.4
16.964	-729.1	-337.8
16.997	-679.3	-345.8
17.030	-609.4	-364.1
17.064	-540.5	-368.6
17.097	-449.9	-381.6
17.130	-351.6	-390.4
17.164	-242.7	-401.1
17.197	-132.0	-404.7
17.230	-19.83	-406.8
17.264	90.21	-403.7
17.297	200.3	-398.5
17.330	275.6	-389.5
17.364	375.4	-381.2
17.397	483.6	-368.2
17.430	568.6	-358.2
17.463	624.7	-340.8
17.497	679.3	-329.8
17.530	719.4	-319.7
17.563	748.5	-312.7
17.597	760.8	-308.6
17.630	758.2	-308.6
17.663	742.4	-311.0
17.697	717.0	-317.3
17.730	673.8	-324.9
17.763	619.9	-335.3
17.797	552.4	-346.4
17.830	476.0	-358.4
17.863	384.7	-368.5
17.897	287.6	-377.9
17.930	198.6	-388.8
17.963	76.24	-390.9
17.997	-32.37	-393.2
18.030	-140.0	-393.8
18.063	-242.5	-390.9
18.097	-331.3	-384.1
18.130	-438.8	-377.2
18.163	-526.1	-368.0
18.197	-602.9	-358.8
18.230	-667.6	-347.2
18.263	-720.2	-339.6
18.297	-757.4	-334.2
18.330	-781.0	-331.3
18.363	-785.0	-330.7
18.397	-776.8	-333.8
18.430	-751.7	-339.4
18.463	-711.9	-346.6
18.497	-656.1	-355.6
18.530	-585.1	-367.2
18.563	-497.1	-375.7
18.597	-413.8	-389.6
18.630	-313.9	-397.8
18.663	-186.4	-407.2
18.697	-70.57	-409.4
18.730	38.58	-409.2
18.763	149.1	-407.2
18.797	254.7	-402.6
18.830	356.1	-394.2
18.863	450.6	-384.0
18.897	535.9	-372.0
18.930	608.4	-361.0
18.963	668.5	-349.6
18.997	705.9	-325.5
19.030	730.2	-315.9
19.063	754.9	-309.6
19.097	759.6	-306.8
19.130	757.8	-310.9
19.163	734.7	-314.9
19.197	697.8	-319.7
19.230	647.2	-329.2
19.263	584.2	-338.9
19.296	511.2	-350.8
19.330	442.4	-370.7
19.363	351.3	-379.3
19.396	253.9	-386.4
19.430	149.2	-392.1
19.463	42.27	-395.2
19.496	-66.10	-395.6
19.530	-173.2	-393.0
19.563	-277.1	-388.7
19.596	-376.5	-383.0
19.630	-467.6	-376.0
19.663	-550.6	-368.4
19.696	-621.1	-360.8
19.730	-680.6	-353.4
19.763	-732.6	-337.4
19.796	-752.3	-333.4
19.830	-771.5	-331.9
19.863	-767.3	-332.8
19.896	-749.8	-336.9
19.930	-727.7	-342.4
19.963	-675.0	-351.5
19.996	-614.4	-361.1
20.030	-536.4	-372.4
20.063	-446.8	-382.8
20.096	-364.0	-397.2
20.130	-255.4	-403.1
20.163	-131.9	-409.5
20.196	-21.15	-410.9
20.230	90.64	-409.1
20.263	199.7	-404.8
20.296	304.1	-398.4
20.330	403.0	-389.2
20.363	490.7	-378.8
20.396	560.9	-359.6
20.430	623.9	-346.5
20.463	675.3	-333.1
20.496	716.5	-323.7
20.530	746.6	-317.6
20.563	758.5	-314.4
20.596	754.9	-311.4
20.630	735.9	-312.0
20.663	708.1	-317.8
20.696	667.0	-325.9
20.730	612.1	-336.4
20.763	545.4	-346.6
20.796	468.1	-358.8
20.830	381.2	-369.1
20.863	295.3	-384.4
20.896	195.2	-390.8
20.930	90.77	-394.4
20.963	-14.80	-395.8
20.996	-122.0	-395.4
21.030	-227.9	-392.8
21.063	-329.3	-387.4
21.096	-424.8	-381.2
21.129	-512.5	-373.5
21.163	-590.6	-365.8
21.196	-656.6	-357.8
21.229	-708.9	-351.3
21.263	-747.3	-346.6
21.296	-760.9	-333.7
21.329	-769.0	-332.9
21.363	-756.2	-336.6
21.396	-732.0	-341.3
21.429	-693.2	-348.6
21.463	-638.6	-357.4
